episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
1,1729,1.0,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,73,59,0:0|0:1|0:2|0:3|0:4|1:0|1:1|1:3|1:4|1:5|2:0|2:1|2:3|2:4|2:5|3:0|3:1|3:2|3:3|3:4|3:5|3:6|3:7|4:0|4:1|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:3|5:4|5:5|5:6|6:0|6:1|6:2|6:3|6:4|6:5|7:0|7:2|7:3|7:4|7:5|7:6|8:0|8:1|8:2|8:3|8:4|8:5|9:0|9:1|9:3,73
2,1730,0.999009009009009,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,58,35,0:0|0:1|1:0|1:1|2:0|2:1|3:0|3:1|3:2|4:0|4:1|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:3|5:4|5:5|6:0|6:1|6:2|6:3|6:4|6:5|6:6|7:0|7:1|7:2|7:3|8:0|8:1|8:2,102
3,1731,0.998018018018018,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,54,45,0:0|0:1|0:2|0:4|0:5|1:0|1:1|1:4|1:5|1:6|2:0|2:1|2:4|2:5|2:6|2:8|2:9|3:0|3:1|3:2|3:3|3:4|3:5|3:6|3:7|3:8|3:9|4:1|4:2|4:3|4:4|4:5|4:6|4:7|4:8|4:9|5:2|5:3|5:4|5:5|5:6|5:8|5:9|6:3|6:4,144
4,1732,0.9970270270270271,3.0,3.0,0.0,3.0,200,truncated,0,0,,1,75,50,0:0|0:1|0:3|0:4|0:5|1:0|1:1|1:3|1:4|1:5|1:6|2:0|2:3|2:4|2:5|2:6|2:7|3:0|3:1|3:2|3:3|3:4|3:5|3:6|3:7|4:2|4:3|4:4|4:5|4:6|4:7|4:8|4:9|5:5|5:6|5:8|5:9|6:5|6:6|6:8|6:9|7:7|7:8|7:9|8:7|8:8|8:9|9:7|9:8|9:9,186
5,1733,0.9960360360360361,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,65,49,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|1:0|1:1|1:3|1:4|1:5|1:6|2:0|2:1|2:3|2:4|2:5|2:6|3:0|3:1|3:3|3:4|3:5|3:6|4:2|4:3|4:4|4:5|5:2|5:3|5:4|5:5|6:2|6:3|6:4|6:5|7:4|7:5|7:6|8:3|8:4|8:5|8:6|9:3|9:4|9:5|9:6,216
6,1734,0.9950450450450451,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,85,63,0:0|0:1|0:8|0:9|1:0|1:1|1:7|1:8|1:9|2:0|2:1|2:4|2:5|2:6|2:7|2:8|2:9|3:0|3:1|3:2|3:5|3:6|3:7|3:8|3:9|4:0|4:1|4:2|4:7|4:8|4:9|5:2|5:3|5:8|5:9|6:3|6:5|6:6|6:8|6:9|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:2|8:3|8:4|8:5|8:6|8:7|8:8|8:9|9:3|9:4|9:5|9:6|9:7|9:8|9:9,275
7,1735,0.994054054054054,3.0,3.0,0.0,3.0,200,truncated,0,0,,1,73,57,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:3|1:4|1:5|1:6|1:7|1:8|1:9|2:0|2:1|2:3|2:4|2:8|2:9|3:0|3:1|3:2|3:3|3:4|3:8|3:9|4:0|4:1|4:2|4:3|4:4|4:8|4:9|5:0|5:1|5:2|5:3|5:8|5:9|6:8|6:9|7:8|7:9|8:5|8:6|8:8|8:9|9:6|9:7|9:8|9:9,292
8,1736,0.993063063063063,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,57,38,0:0|0:1|0:2|0:3|0:4|0:5|1:0|1:1|1:3|1:4|1:5|2:0|2:3|2:4|2:5|3:0|3:1|4:0|4:1|5:0|5:1|5:2|6:0|6:1|6:2|6:3|7:0|7:1|7:2|7:3|8:0|8:1|8:2|8:3|9:0|9:1|9:2|9:3,326
9,1737,0.992072072072072,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,46,35,0:0|0:1|0:2|0:3|0:4|1:0|1:1|1:4|2:0|2:1|3:0|3:1|3:2|3:3|4:1|4:2|4:3|5:0|5:1|5:2|5:3|6:0|6:1|6:2|6:3|7:0|7:1|7:2|7:3|7:4|8:0|8:1|8:2|8:3|9:0,327
10,1738,0.9910810810810811,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,54,49,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:3|1:4|1:5|1:6|1:8|1:9|2:0|2:3|2:4|2:5|2:6|2:7|2:8|2:9|3:0|3:1|3:3|3:4|3:5|3:6|3:7|3:8|3:9|4:1|4:3|4:4|4:5|4:6|4:7|4:8|4:9|5:1|5:2|5:3|5:8|5:9|6:2|6:3,355
11,1739,0.9900900900900901,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,69,45,0:0|0:1|0:2|1:0|1:1|1:3|2:0|2:1|2:3|3:0|3:1|3:2|3:3|3:4|4:0|4:1|4:2|4:4|5:0|5:1|5:2|5:3|5:4|6:0|6:1|6:2|6:3|6:4|7:0|7:1|7:2|7:3|7:4|7:5|7:6|8:0|8:1|8:3|8:4|8:5|8:6|9:0|9:4|9:5|9:6,369
12,1740,0.9890990990990991,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,78,52,0:0|1:0|1:1|1:5|2:1|2:4|2:5|2:6|2:7|3:0|3:1|3:3|3:4|3:5|3:6|3:7|4:0|4:1|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:3|5:4|5:5|5:6|6:1|6:2|6:3|6:4|6:5|6:6|7:1|7:2|7:3|7:4|7:5|7:6|8:2|8:3|8:4|8:5|8:6|9:3|9:4|9:5|9:6,388
13,1741,0.9881081081081081,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,55,33,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:3|1:4|1:5|1:6|1:7|1:8|1:9|2:3|2:4|2:5|2:6|2:7|2:8|2:9|3:3|3:4|3:7|3:8|3:9|4:3|4:4,394
14,1742,0.9871171171171171,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,94,62,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|1:0|1:1|1:3|1:4|1:5|1:6|1:7|1:8|1:9|2:0|2:1|2:3|2:4|2:5|2:6|2:7|2:8|2:9|3:0|3:1|3:2|3:3|3:4|3:7|3:8|4:0|4:1|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:3|5:4|5:5|6:0|6:1|6:2|6:3|6:4|7:0|7:1|7:2|7:3|8:0|8:1|8:2|8:3|9:0|9:1|9:2|9:3,431
15,1743,0.9861261261261262,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,60,50,0:0|0:1|0:2|0:3|0:4|0:5|1:0|1:1|1:3|1:4|1:5|2:0|2:1|2:3|2:4|2:5|3:0|3:1|3:2|3:3|3:4|4:0|4:1|4:2|4:3|4:4|5:0|5:1|5:2|5:3|5:5|6:0|6:1|6:2|6:3|6:4|6:5|7:0|7:1|7:2|7:3|7:4|7:5|8:0|8:1|8:2|8:3|8:4|8:5|9:4,452
16,1744,0.9851351351351352,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,39,39,0:0|0:1|0:2|1:0|1:1|2:0|2:1|3:0|3:1|3:2|3:3|4:0|4:1|4:2|4:3|5:2|5:3|6:0|6:1|6:2|6:3|6:5|7:0|7:1|7:2|7:3|7:4|7:5|8:0|8:1|8:2|8:3|8:4|8:5|9:0|9:1|9:2|9:3|9:4,453
17,1745,0.9841441441441442,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,62,39,0:0|0:1|0:2|0:3|1:0|1:1|1:3|2:0|2:1|3:0|3:1|3:2|3:3|3:4|3:5|4:0|4:1|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:3|6:0|6:1|6:2|6:3|6:4|7:0|7:1|7:2|7:3|7:4|8:3|8:4|9:3|9:4,453
18,1746,0.9831531531531531,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,61,47,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|0:8|0:9|1:0|1:1|1:3|1:4|1:5|1:6|1:7|1:8|1:9|2:1|2:4|2:5|2:6|2:7|2:8|2:9|3:1|3:2|3:3|3:4|3:6|3:7|3:8|3:9|4:0|4:1|4:2|4:3|5:0|5:1|5:3|6:0|6:1|6:2|6:3|7:2|7:3,453
19,1747,0.9821621621621621,2.0,2.0,0.0,2.0,200,truncated,0,0,,1,55,37,0:0|0:1|0:2|0:3|0:4|0:5|1:0|1:1|1:3|1:4|1:5|1:6|2:0|2:1|2:3|2:4|2:5|2:6|3:0|3:1|3:2|3:3|3:4|3:5|4:0|4:1|4:2|4:3|4:4|4:5|5:0|5:1|5:4|5:5|6:0|6:1|6:2,462
20,1748,0.9811711711711711,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,30,24,0:0|0:1|0:2|0:3|0:4|0:5|0:6|0:7|0:8|1:3|1:4|1:5|1:6|1:7|2:3|2:4|2:5|2:6|3:3|3:4|3:5|3:6|4:5|5:5,462
21,1749,0.9801801801801802,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,78,58,0:0|0:1|0:2|0:3|0:4|0:5|0:6|1:0|1:1|1:3|1:4|1:5|1:6|2:0|2:1|2:3|2:4|2:5|2:6|3:0|3:1|3:2|3:3|3:4|3:5|3:6|4:0|4:1|4:2|4:3|4:4|5:0|5:1|5:2|5:3|5:4|5:5|5:6|6:3|6:4|6:5|6:6|7:3|7:4|7:5|7:6|7:7|8:3|8:4|8:5|8:6|8:7|9:3|9:4|9:5|9:6|9:7|9:8,489
22,1750,0.9791891891891892,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,54,52,0:0|0:1|0:2|0:3|0:5|1:0|1:1|1:4|1:5|1:6|1:7|1:8|1:9|2:0|2:1|2:3|2:4|2:5|2:6|2:7|2:8|2:9|3:0|3:1|3:2|3:3|3:4|3:5|3:6|3:7|4:0|4:1|4:2|4:3|4:4|4:5|4:6|5:1|5:2|5:3|5:4|5:5|5:6|6:4|6:6|7:3|7:4|7:5|7:6|8:4|8:5|8:6,506
23,1751,0.9781981981981982,1.0,1.0,0.0,1.0,200,truncated,0,0,,1,70,44,0:0|1:0|1:1|2:0|2:1|3:0|3:1|3:2|3:3|3:5|3:6|4:0|4:1|4:2|4:3|4:4|4:5|4:6|5:0|5:1|5:2|5:3|5:4|5:5|5:6|6:0|6:1|6:2|6:3|6:4|6:5|6:6|7:0|7:1|7:2|7:3|7:4|7:5|7:6|8:2|8:4|8:5|9:2|9:3,518
